,Source
2057,Popular Mechanics
23,Christian Science Monitor
730,SheKnows.com
1183,ITProPortal
2485,Motley Fool
891,CBS News
1838,ValueWalk
11,BBC News
2071,The Plain Dealer
2594,Daily Gadgetry
2011,Yahoo\!7 News
1343,Europe Online Magazine
773,BDlive
644,Toronto Star
2054,USA TODAY
2190,Daily Mail
133,KMBC Kansas City
863,Jezebel
330,The Plain Dealer
2009,Business Today
1715,Yahoo TV \(blog\)
1311,TechCrunch
1705,iSource
2664,Mediaite
15,Peninsula On-line
969,MarketWatch
219,The Independent
1993,Tech Times
2195,CNET
1208,Pocket-lint.com
1962,The Periscope Post
2429,The Independent
884,The Fiscal Times
1692,Eureka\! Science News
531,Forbes
1577,The Consumerist
614,Tom's Guide
199,CNN
1304,WDRB
294,Cinema Blend
972,Digital Spy
2588,TechnologyTell
2346,Uproxx
2620,Daily Mail
1146,Us Magazine
1869,Businessweek
565,Forbes
160,Toronto Star
429,Motley Fool
943,Hypable
1951,The Province
491,Hamilton Spectator
1909,Parent Herald
1727,The Inquisitr
1971,GameSpot
1959,Businessweek
1555,ExtremeTech
1500,International Business Times
569,Daily Mail
1228,RTT News
400,CBS News
595,Newsday
1703,Reality TV World
2547,Christian Science Monitor
1953,Geeky gadgets
2496,Ultimate Classic Rock
1672,Law360 \(subscription\)
840,SlashGear
2631,TIME
1029,Daily Mail
1274,The Times \(subscription\)
2126,GameSided
683,HitFix
2438,A.V. Club Denver\/Boulder
146,Android Community
2397,Telegraph.co.uk
1070,Us Magazine
431,MSN Money
1694,Business Recorder
1751,MSN Money
819,Press Herald
2184,\/FILM
633,Refinery29
1346,Gamepur
301,Science Fiction
411,The News International
92,TheHDRoom
2254,International Business Times
2707,BGR India
135,Radar Online
1870,UPI.com
1858,Contactmusic.com
1982,VG247
1430,Techsonian \(press release\)
2264,Contactmusic.com
2388,Daily Mail
1214,Vibe
743,Wall Street Pit
1342,Times of India
2153,ITProPortal
274,Daily Life
2103,Noisey \(blog\)
2280,The Frisky
1400,SheKnows.com
2389,Shacknews
938,Law360 \(subscription\)
2073,Broadway World
1347,The Times \(subscription\)
2359,Telegraph.co.uk
2635,Eagle-Tribune
604,Enstarz
1892,Press Trust of India
2739,Interactive Investor
385,WBAL Radio
341,antiMUSIC.com
2663,Latin Post
2586,Houston Press \(blog\)
1637,The Oregonian
1144,The Guardian
1873,gulfnews.com
1470,AppAdvice
1843,WebProNews
931,VentureBeat
796,Bloomberg
2075,TechnologyTell
336,The Gamer Headlines
2337,Contactmusic.com
1370,Bloomberg
326,Geeky gadgets
1652,CNET Australia
1699,Housing Wire
2242,Press of Atlantic City
13,UPI.com
917,International Financing Review
175,iWantPop
1707,Game Politics
265,MotoringCrunch
2154,Entertainment Weekly
708,Independent Online
921,ValueWalk
2538,InformationWeek
263,New York Daily News
864,Business Spectator
2535,Contactmusic.com
142,CNBC.com
1605,Refinery29
325,Bloomberg
672,Headlines \& Global News
2171,Quartz
0,GossipCop
574,Latin Post
143,CTV News
116,The Stir
546,24\/7 Wall St.
228,The Stir
742,CNBC.com
2225,Ubergizmo
2554,Irish Independent
2357,Newsday
1461,Hamilton Spectator
332,SlashGear
2132,AceShowbiz
1351,MarketWatch
2219,WDRB
1487,Entertainment Weekly \(blog\)
1998,Gothamist
2476,Mashable
733,The Daily Voice
866,Contactmusic.com
197,Entertainment Weekly \(blog\)
1493,Dubuque Telegraph Herald
589,Broadcasting \& Cable
968,VentureBeat
518,A.V. Club
1662,Us Magazine
2119,The Guardian
121,HyperVocal
664,ValueWalk
4,Entertainment Weekly \(blog\)
75,Metal.com News
1794,Enstarz
479,Mobile Burn
1373,Telegraph.co.uk
6,JamBase
1272,Techsonian \(press release\)
940,AceShowbiz
563,fox6now.com
233,Wall St. Cheat Sheet
1087,Ubergizmo
558,WDRB
247,Chicago Daily Herald
918,Auckland stuff.co.nz
2702,Latin Post
1186,WTOP
842,Motley Fool
2283,CTV News
2306,UPI.com
2530,GossipCop
2679,Telegraph.co.uk
2121,RTT News
862,New York Daily News
1401,Joystiq
2324,Cinema Blend
2104,Entrepreneur
1558,Sky News Australia
1638,NDTV
2557,mediabistro.com
282,The Escapist
680,GameSpot
2130,Latin Post
2334,TechGeek
2595,Inrumor
1803,BREATHEcast
2152,NYU Washington Square News
320,Moneycontrol.com
1495,International Business Times UK
1800,Yahoo TV \(blog\)
1371,TrustedReviews
1332,Seattle Post Intelligencer \(blog\)
710,The Independent
1573,NEWS.com.au
630,Telegraph.co.uk
435,About - News \& Issues
1609,The Koalition
611,Android Community
2724,Irish Times \(blog\)
1420,Sugarscape
2463,Business Standard
640,Digital Spy UK
34,Columbus Dispatch
1524,Mobile Burn
1934,Pulse
231,Kingston Daily Freeman
2059,Newser
1195,The Escapist
112,Forbes
2022,Billboard
67,Telecompaper \(subscription\)
1445,SheKnows.com
2563,ValueWalk
25,iWantPop
1261,Minneapolis Star Tribune
2281,Refinery29
148,Side Mission
551,Daily Mail
831,ValueWalk
2065,ClaimsJournal.com
1528,Reality TV World
89,Businessweek
1280,MSN Money
2278,Beauty World News
2257,Telegraph.co.uk
2129,Latin Times
1983,Hollywood Reporter
498,NBC Bay Area
1688,www.worldbulletin.net
2451,Sydney Morning Herald
2625,Telegraph.co.uk
2060,Entertainment Weekly \(blog\)
757,AppAdvice
825,Cinema Blend
2411,The Consumerist
2709,Techsonian \(press release\)
2074,E-Commerce Times
1814,Extra
370,Reality TV World
768,South China Morning Post
939,Autoblog \(blog\)
1679,RedEye Chicago
1049,SlashGear
1054,mediabistro.com
902,Jezebel
1363,Digital Spy UK
2271,Zimbio
1985,Hot Hardware
684,BGR
372,Baltimore Sun \(blog\)
2421,The Inquisitr
1265,bnn.ca
78,TIME
28,HitFix
487,Newser
540,Recombu
744,Al Jazeera America
56,RTT News
657,Bloomberg
308,Investorplace.com
737,AceShowbiz
2394,Geeky gadgets
1303,Press Trust of India
2415,Baystreet.ca
642,Reverb MSN Music \(blog\)
8,ChristianToday
1307,The Birmingham News - al.com
823,GeekWire
1073,Newsmax.com
344,Product Reviews
1629,Latin Post
48,PC Gamer Magazine
2729,Vancouver Sun
110,LALATE
357,BBC News
1104,MarketWatch
243,OCRegister
217,Home Media Magazine
1170,Contactmusic.com
2382,The Independent
2125,\/FILM
813,Advanced Television
1121,TIME
2166,24\/7 Wall St.
1877,WKRB News
1792,CBS News
1127,NEWS.com.au
2013,"International Business Times, India Edition"
2070,Refinery29
2447,PC Magazine
353,Milwaukee Journal Sentinel
538,BGR
237,SlashGear
663,VG247
1568,Zolmax
2674,Irish Examiner
1456,Re\/code
548,Indian Express
2196,FierceWireless
2393,Philly.com \(blog\)
621,Contactmusic.com
1520,Interactive Investor
2198,WRCB-TV
1853,iWantPop
1454,Deadline.com
1098,The Star Online
2252,Ars Technica
61,MarketWatch
2525,PCWorld \(blog\)
690,Billboard
96,Yahoo TV \(blog\)
685,Businessweek
2044,24\/7 Wall St.
1930,CNBC.com
2474,Sydney Morning Herald
286,Newsday
1758,bit-tech.net
2049,Contactmusic.com
367,The Province
2080,Broadway World
1575,Gawker
1980,Forbes
1425,MarketWatch
2061,Re\/code
98,Broadway World
867,Gamenguide
1232,FinFacts Ireland
2423,KOMO News
779,Hamilton Spectator
114,Reality TV World
2405,Ubergizmo
2039,Livemint
1815,University Herald
43,Cape Breton Post
1810,Digital Trends
129,The Almagest
208,RT
1502,Apple Insider
53,WDRB
1837,MyBroadband
561,89.3 KPCC
69,PJ Media
2091,ValueWalk
1917,Daily Life
2204,Reality TV World
2420,Product Reviews
2179,NDTV
1452,The Globe and Mail
187,24\/7 Wall St.
141,Global Times
919,The Periscope Post
816,Guide2Derby
136,ExtremeTech
83,Press of Atlantic City
1619,Businessweek
2378,Auto World News
777,DailyFinance
557,TIME
1042,RTT News
2098,Global Times
1005,Space.com
2456,Hollywood Reporter
169,BuddyTV
253,Engadget
1359,Business Insider
2062,WDRB
458,Sydney Morning Herald
1386,UPI.com
1357,The Oregonian
2689,Venture Capital Post
445,The Post-Standard \(blog\)
594,Mediaite
2191,SiliconANGLE \(blog\)
2517,BBC News
1889,The Age
781,Auckland stuff.co.nz
398,autoevolution
240,SlashGear
2391,Reverb MSN Music \(blog\)
2029,Apple Insider
272,iClarified
790,Hamilton Spectator
448,CNNMoney
692,The Consumerist
254,The Futon Critic
1606,The Atlantic
2401,WKRB News
2355,TopNews Arab Emirates
2515,Movie Fanatic
460,TIME
1498,BBC News
735,WKBT La Crosse
2197,BreakingNews.ie
2398,Businessweek
2094,Hollywood.com
1944,GamingBolt
1194,The New Republic
86,Wonkette \(satire\)
2222,Ubergizmo
1489,Christian Post
1936,WebProNews
1702,Android Authority
2045,Daily Mail
489,Joystiq
532,The Times \(subscription\)
414,Slate Magazine \(blog\)
394,RTE.ie
2230,Variety
1666,CNET \(blog\)
2623,Deseret News
707,Forbes
1266,San Francisco Chronicle \(blog\)
63,Mashable
872,Polygon
2526,Latin Post
1288,9 to 5 Mac
227,TVWise
383,Latin Times
1865,O'Dwyer's PR News
2615,The Atlantic
2632,eNCA
2384,CBS News
2460,Telemanagement
10,Latino Post
1989,The Southland Times
1879,Albuquerque Journal
727,ConsumerAffairs
260,Contactmusic.com
1650,Digital Spy
399,UPI.com
1613,The Frisky
945,USA TODAY
2082,WebProNews
2255,The Malay Mail Online
1250,Digital Spy
1991,International Business Times
758,The Independent
41,Cambio
888,Contactmusic.com
555,Co.Design
2507,TechnologyTell
1399,Daily Mail
1171,marie claire magazine Australia
1055,tuaw.com
382,Motley Fool
686,CBC.ca
365,Law360 \(subscription\)
989,Law360 \(subscription\)
1381,Computerandvideogames.com
1059,Computerworld
484,Entertainment Weekly
1424,Enstarz
2404,Hollywood Reporter
1581,kdvr.com
1282,The Escapist
2140,Daily Political
1587,Broadway World
2443,Boston Globe
1276,ReadWrite
1734,World Internet TV on PC \(blog\)
1278,ValueWalk
2553,Hot Hardware
81,Telegraph.co.uk
1198,Hollywood Reporter
834,Forbes
1893,BGR
2409,WDRB
2151,SBS
137,Popular Mechanics
1166,MarketWatch
955,International Business Times
949,ZDNet
843,Computerandvideogames.com \(blog\)
1563,Irish Independent
1240,MarketWatch
519,Us Magazine
2717,We Got This Covered
2041,Computerandvideogames.com
2003,MSN Money
1412,New York Daily News
914,Motley Fool
848,Modern Readers
2677,FierceWireless
1717,BuddyTV
2361,Emag.co.uk
2345,Android Community
2305,Nickutopia
671,UPI.com
176,Motley Fool
39,Complex.com
2624,Telegraph.co.uk
732,RTE.ie
94,Business Standard
1231,hypebot.com
2372,DailyFinance
1868,Latin Post
1181,Fox News
1352,Daily Mail
220,WCCFtech
525,OpEdNews
1714,tuaw.com
514,Businessweek
2273,BBC News
1897,MTV UK
1416,The Inquisitr
1551,National Business Review \(subscription\)
2497,Livemint
2122,Yahoo Canada Shine \(blog\)
1572,Heritage Newspapers
1243,CBS Local
1444,ITProPortal
2310,Ubergizmo
1710,Digital Spy
1223,Guyism
1574,DailyFinance
975,CarterMatt.com
769,Gulf Times
239,Businessweek
751,Hollywood Reporter
2741,Digital Spy
1182,Ubergizmo
2390,Cambio
1235,The Periscope Post
1089,Broadway World
2202,Android Community
1086,San Francisco Chronicle \(blog\)
1193,Irish Independent
1523,Polygon
2269,Polygon
904,Entertainmentwise
147,soFeminine.co.uk
2698,iWantPop
870,NPR \(blog\)
736,WDRB
2696,Lawyer Herald
269,Paste Magazine
76,Daily Mail
405,Engadget
2335,TechnologyTell
2572,Newsday
406,A.V. Club \(blog\)
1393,New York Post
2292,NZ City
1946,Gadget Insiders
612,The Plain Dealer
2155,Irish Times
1323,Winston-Salem Journal
1862,Jalopnik
892,Buenos Aires Herald
1580,SlashGear
37,iClarified
2317,Macgasm
2189,Ahram Online
2435,Latin Times
999,Franchise Herald
1603,io9
1148,Extra
2286,Cambio
1935,New York Magazine
694,TIME
747,Philly.com
422,Daily Beast
1548,The Guardian
1683,hellomagazine.com
845,Billboard
634,Vancouver Sun
118,TheStreet.com
427,the Diplomat
1658,Times LIVE
2695,ITV News
93,hellomagazine.com
2128,Businessweek
772,Variety
1663,VG247
12,TIME
290,Livemint
1090,Broadway World
1217,MarketWatch
1468,USA TODAY
2574,The Independent
2573,Geeky gadgets
2708,Express.co.uk
1600,Reality Tea
2364,Evening Standard
1722,The Periscope Post
871,Boston Globe
2253,UPI.com
915,Engadget
511,ValueWalk
1822,Gamenguide
343,Winsford Guardian
530,Belfast Telegraph
1376,UPI.com
1038,The News International
2581,International Business Times UK
1821,New York Magazine
1825,NEWS.com.au
2116,The Plain Dealer
364,The Escapist
2617,PC Magazine
1340,Marie Claire.co.uk
1668,Modern Readers
566,Austin Chronicle
2313,GameSpot
1253,International Business Times
2455,CBS Local
979,TechnoBuffalo
1813,Sydney Morning Herald
2187,TopNews Arab Emirates
1031,RTT News
1117,The Inquisitr
2449,Business Insider
1018,NBC 5 Dallas-Fort Worth
1713,Forbes
157,Q13 FOX
2555,TidBITS
597,Latin Times
1499,AceShowbiz
722,NBC Bay Area
1238,Polygon
916,UPI.com
502,BREATHEcast
575,Cambio
1167,Evening Standard
1145,PC Magazine
527,UPI.com
651,San Francisco Chronicle \(blog\)
2371,NZ City
1698,The West Australian
1035,Digital Spy
1976,SheKnows.com
1176,CTV News
2578,Deccan Chronicle
120,Us Magazine
759,Telegraph.co.uk
2537,Contactmusic.com
2019,ValueWalk
1106,Big Hollywood
1851,BuzzFeed
850,The Age
123,MyFox Austin
675,New York Daily News
2508,Reality TV World
2467,CBS Local
2688,TIME
653,Us Magazine
379,BDlive
273,Zimbio
47,CBS Local
1013,Paste Magazine
896,CP24 Toronto's Breaking News
793,Droid Report
1245,TheWrap
1152,University Herald
5,The Patriot-News \(blog\)
1628,Pulse
2360,The Globe and Mail
1101,Fox News
857,GossipCop
700,Engadget
1752,Moneycontrol.com
2243,BGR
1174,Business Standard
591,The Inquisitr
51,iNVEZZ
873,International Business Times UK
2027,Ticker Report
1864,Financial Post
853,WDRB
1141,Variety
1192,Contactmusic.com
1950,Law360 \(subscription\)
993,Geeky gadgets
409,Benzinga
20,International Business Times UK
703,International Business Times UK
36,Daily Mail
2600,"International Business Times, India Edition"
539,City Index
941,Hedgeworld \(subscription\)
1882,Radar Online
1933,GossipCop
553,Emag.co.uk
1740,The Star-Ledger
2687,Businessweek
250,University Herald
804,Seattle Post Intelligencer \(blog\)
1437,Independent Online
158,The New Republic
1721,HitFix
643,io9
2636,WDRB
1374,International Business Times
585,Latin Post
1797,ValueWalk
1857,Benzinga
2111,Vancouver Sun
131,GameSpot
2728,marie claire magazine Australia
2051,Toronto Sun
1002,Daily Political
2725,Eureka\! Science News
194,Motley Fool
1165,Eurogamer.net
1014,Businessinsider India
718,MSN Philippines News
624,CNBC.com
184,KOMO News
307,Metro
2548,Newser
1084,Engadget
2592,The Inquisitr
2637,Business Spectator
1093,Bloomberg
2251,Today's iPhone
1269,BuzzSugar.com
17,WTOP
2731,Business Insider
562,Engadget
677,GossipCop
2480,Deadline.com
2511,Franchise Herald
1536,Racked National
981,NEWS.com.au
2380,RTT News
817,Business Standard
229,WDRB
2120,The Asian Age
1839,WebProNews
2716,Forbes
2325,Yahoo News
2131,Yahoo\!7 News
1728,Gamepur
1069,Beauty World News
483,Yahoo Finance \(blog\)
976,Idolator\: All About The Music
2727,Hollywood Reporter
658,USA TODAY
2551,Us Magazine
1244,Businessinsider India
1184,Daily Beast
1443,Bleeding Cool News
2490,Music Times
1559,Ars Technica
2678,The Voice of Russia
1327,Firstpost
2630,The Voice of Russia
1636,MotoringCrunch
164,NDTV
1739,HitFix
978,Bloomberg
2673,Hollywood Reporter
897,Deseret News
1963,Entertainment Weekly \(blog\)
1927,KMBZ
2246,East Idaho News
102,ReadWrite
2598,The Independent
258,SheKnows.com
107,USA TODAY
1473,Salt Lake Tribune
1471,Forbes
1682,New York Daily News
603,MTV UK
645,Classicalite
1731,Macworld
2147,Vanity Fair
2245,Stuff.tv
413,Latin Post
1180,The Periscope Post
2303,TheStreet.com
1716,Daily Life
2102,A.V. Club
2721,Politico
464,Telemanagement
2350,Gulf Times
1355,CNET Australia
2095,Engadget
900,Slate Magazine \(blog\)
2675,Billboard
641,Digital Spy UK
2442,Newser
2545,WallStreetPR
1827,Reality TV World
267,ConsumerAffairs
1667,Variety
1466,Mac Rumors
2244,The Guardian
2014,Food World News
1842,indiatvnews.com
659,FashionUnited.co.uk
2434,Businessweek
2601,New York Daily News
2004,MediaPost Communications
503,The Futon Critic
1884,Slate Magazine \(blog\)
1773,Telecompaper \(subscription\)
150,StarPhoenix
1566,Expert Reviews
2031,Computerandvideogames.com
1397,DailyFinance
2502,89.3 KPCC
2692,just-style.com
678,The Epoch Times
1834,The Periscope Post
190,Independent Online
1173,WDRB
626,TechHive
2237,NDTV
1975,East Idaho News
201,Autoblog \(blog\)
2376,Eater National
299,Hollywood Reporter
785,Digital Spy UK
410,Top Tech News
126,Motley Fool
206,Businessinsider India
855,Christian Science Monitor
2343,Town Hall
1467,MobileSyrup.com
1772,24\/7 Wall St.
1730,FXstreet.com
1744,TechCrunch
2671,Vibe
1179,Guide2Derby
1695,GossipCop
2483,South China Morning Post
1798,BuddyTV
874,PC Magazine
1622,Global Times
2315,Auto World News
660,Reality TV World
1,TechRadar UK
2206,Financial Post
717,RTT News
1669,ReadWrite
1318,TheStreet.com
2661,San Francisco Chronicle \(blog\)
2541,Herald Scotland
1552,Auto World News
1894,WRAL Tech Wire
1162,WallStreetPR
2656,Autoblog \(blog\)
1664,Headlines \& Global News
2043,USA TODAY
682,The Japan Times
702,The Patriot-News
1283,Travel Weekly
323,The West Australian
667,Binary Tribune
1462,PopCrush
1510,RTT News
728,Gulf Times
1309,Eater National
1807,Belfast Telegraph
994,Business Insider
1334,Entertainment Weekly
1428,Businessweek
1436,HitFix
2284,Digital Spy UK
1527,OCRegister
2084,The Guardian
1561,New York Post
1697,Hypable
1382,Home Media Magazine
2681,mxdwn.com
2700,Radar Online
1676,Wired.co.uk
1075,Austin Chronicle
815,The Stir
1630,East Idaho News
1860,MarineLink
1761,Racked National
1209,International Business Times
1083,TheWrap
556,NEWS.com.au
1712,WCCFtech
2647,Android Headlines - Android News
2585,BuddyTV
1796,GameSided
1968,Marie Claire.co.uk
99,The Star-Ledger
1043,The Post-Standard \(blog\)
579,WSET
883,Headlines \& Global News
1515,MyDaily UK
1924,MacroBusiness \(blog\)
1062,Hedgeworld \(subscription\)
210,Law360 \(subscription\)
402,Broadcasting \& Cable
890,International Business Times UK
407,Wall St. Cheat Sheet
2641,GMA News
1051,OMG\! Canada \(blog\)
1516,gulfnews.com
982,Metalbulletin.com \(subscription\)
1602,The Times-Picayune
1938,International Business Times UK
2192,WDRB
824,Digital Spy
1790,Newsday
2506,AOL Autos
517,BDlive
799,Modern Readers
1904,MTV UK
204,Hollywood Life
2228,PC Gamer Magazine
2134,Globalnews.ca
2326,ScreenCrush
1836,TheStreet.com
388,Herald Scotland
2385,Polygon
428,Online Athens
1733,Binary Tribune
401,Capital FM
1554,Daily Mail
1188,Newsday
1526,Baystreet.ca
2072,FXstreet.com
1178,BGR
1395,GossipCop
2621,kfor.com
65,Reality TV World
2108,Enstarz
1206,OMG\! Canada \(blog\)
507,Tulsa World
389,TopNews New Zealand
2282,GameSided
782,Headlines \& Global News
2312,indiatvnews.com
811,Newsmax.com
1100,Variety
898,Extra
345,Newser
2392,soFeminine.co.uk
1039,Fox News
1302,CNET \(blog\)
467,PopCrush
835,CNBC.com
2366,CBS News
1017,We Got This Covered
2026,Idolator\: All About The Music
205,Daily Life
165,WTOP
1611,Benzinga
2501,BBC News
721,MarketWatch
1531,MediaPost Communications
1155,Metro
2668,Jezebel
1044,Mother Nature Network
1618,Refinery29
2000,Digital Spy
2301,Philly.com \(blog\)
35,Daily Life
795,Guyism
2609,Guyism
1508,Geeky gadgets
1418,Mac Rumors
2185,CNBC.com
1391,AVAFIN
2667,TechnologyTell
2087,Businessweek
246,Latinos Post
2107,Bloomberg
2412,ITV News
618,Europe Online Magazine
2487,NDTV
1324,Noise11
2261,Attack of the Fanboy
2114,NBC Bay Area
665,MarketWatch
1560,CBS Local
1293,Hypable
1942,Wall Street Pit
578,ValueWalk
193,Yahoo News
1846,Hollywood Reporter
997,Philly.com
2093,Jakarta Post
2611,International Business Times
1107,WebProNews
488,RTT News
766,RTT News
2349,Business Recorder
22,New York Post
471,SheKnows.com
1210,MSN Money
2373,Metro
977,UPI.com
1241,FXstreet.com
2484,TechSpot
1547,Ars Technica
2440,BuzzSugar.com
789,Co.Exist
1719,TIME
134,Gospel Herald
2181,hellomagazine.com
1513,Auckland stuff.co.nz
338,VentureBeat
1264,Ubergizmo
478,Business Standard
2215,Benzinga
1671,The Malay Mail Online
1120,TheStreet.com
1156,Inc.com
1321,The Age
880,WDRB
